d-step 23 epoch 3 :  average_loss = 0.0141, train_acc = 328.9040, val_acc = 0.6400
d-step 24 epoch 1 :  average_loss = 0.0185, train_acc = 328.6338, val_acc = 0.6000
d-step 24 epoch 2 :  average_loss = 0.0152, train_acc = 328.8409, val_acc = 0.6550
d-step 24 epoch 3 :  average_loss = 0.0140, train_acc = 328.9117, val_acc = 0.6450
d-step 25 epoch 1 :  average_loss = 0.0183, train_acc = 328.6393, val_acc = 0.6250
d-step 25 epoch 2 :  average_loss = 0.0149, train_acc = 328.8564, val_acc = 0.6550
d-step 25 epoch 3 :  average_loss = 0.0138, train_acc = 328.9216, val_acc = 0.6600
d-step 26 epoch 1 :  average_loss = 0.0182, train_acc = 328.6454, val_acc = 0.6250
d-step 26 epoch 2 :  average_loss = 0.0148, train_acc = 328.8560, val_acc = 0.6350
d-step 26 epoch 3 :  average_loss = 0.0138, train_acc = 328.9207, val_acc = 0.6450
d-step 27 epoch 1 :  average_loss = 0.0177, train_acc = 328.6740, val_acc = 0.6350
d-step 27 epoch 2 :  average_loss = 0.0143, train_acc = 328.8839, val_acc = 0.6500
d-step 27 epoch 3 :  average_loss = 0.0135, train_acc = 328.9379, val_acc = 0.6450
d-step 28 epoch 1 :  average_loss = 0.0176, train_acc = 328.6755, val_acc = 0.6150
d-step 28 epoch 2 :  average_loss = 0.0141, train_acc = 328.8945, val_acc = 0.6350
d-step 28 epoch 3 :  average_loss = 0.0133, train_acc = 328.9434, val_acc = 0.6450
d-step 29 epoch 1 :  average_loss = 0.0177, train_acc = 328.6696, val_acc = 0.6250
d-step 29 epoch 2 :  average_loss = 0.0145, train_acc = 328.8716, val_acc = 0.6300
d-step 29 epoch 3 :  average_loss = 0.0134, train_acc = 328.9366, val_acc = 0.6450
d-step 30 epoch 1 :  average_loss = 0.0175, train_acc = 328.6864, val_acc = 0.6300
d-step 30 epoch 2 :  average_loss = 0.0141, train_acc = 328.8986, val_acc = 0.6300
d-step 30 epoch 3 :  average_loss = 0.0132, train_acc = 328.9524, val_acc = 0.6450
d-step 31 epoch 1 :  average_loss = 0.0169, train_acc = 328.7174, val_acc = 0.6000
d-step 31 epoch 2 :  average_loss = 0.0137, train_acc = 328.9208, val_acc = 0.6300
d-step 31 epoch 3 :  average_loss = 0.0130, train_acc = 328.9642, val_acc = 0.6150
d-step 32 epoch 1 :  average_loss = 0.0176, train_acc = 328.6719, val_acc = 0.6000
d-step 32 epoch 2 :  average_loss = 0.0140, train_acc = 328.8978, val_acc = 0.6150
d-step 32 epoch 3 :  average_loss = 0.0131, train_acc = 328.9533, val_acc = 0.6300
d-step 33 epoch 1 :  average_loss = 0.0168, train_acc = 328.7067, val_acc = 0.6250
d-step 33 epoch 2 :  average_loss = 0.0136, train_acc = 328.9241, val_acc = 0.6250
d-step 33 epoch 3 :  average_loss = 0.0129, train_acc = 328.9679, val_acc = 0.6200
d-step 34 epoch 1 :  average_loss = 0.0167, train_acc = 328.7247, val_acc = 0.6250
d-step 34 epoch 2 :  average_loss = 0.0137, train_acc = 328.9169, val_acc = 0.6450
d-step 34 epoch 3 :  average_loss = 0.0129, train_acc = 328.9638, val_acc = 0.6300
d-step 35 epoch 1 :  average_loss = 0.0170, train_acc = 328.6966, val_acc = 0.6250
d-step 35 epoch 2 :  average_loss = 0.0135, train_acc = 328.9283, val_acc = 0.6350
d-step 35 epoch 3 :  average_loss = 0.0128, train_acc = 328.9709, val_acc = 0.6350
d-step 36 epoch 1 :  average_loss = 0.0155, train_acc = 328.7955, val_acc = 0.6050
d-step 36 epoch 2 :  average_loss = 0.0130, train_acc = 328.9563, val_acc = 0.6200
d-step 36 epoch 3 :  average_loss = 0.0125, train_acc = 328.9836, val_acc = 0.6400
d-step 37 epoch 1 :  average_loss = 0.0169, train_acc = 328.7009, val_acc = 0.6150
d-step 37 epoch 2 :  average_loss = 0.0134, train_acc = 328.9311, val_acc = 0.6300
d-step 37 epoch 3 :  average_loss = 0.0127, train_acc = 328.9758, val_acc = 0.6450
d-step 38 epoch 1 :  average_loss = 0.0164, train_acc = 328.7294, val_acc = 0.6200
d-step 38 epoch 2 :  average_loss = 0.0131, train_acc = 328.9475, val_acc = 0.6300
d-step 38 epoch 3 :  average_loss = 0.0125, train_acc = 328.9849, val_acc = 0.6300
d-step 39 epoch 1 :  average_loss = 0.0160, train_acc = 328.7601, val_acc = 0.6200
d-step 39 epoch 2 :  average_loss = 0.0131, train_acc = 328.9477, val_acc = 0.6200
